Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
3271573486,"Apr 8, 2020, 2:45:01 PM",Passeio da Nina 08/04/2020,Hike,"Mais um passeio show, sem chuva. 😅🥰🐕",4059,3.64,,,false,,activities/3271573486.gpx,,,4059.0,2792.0,3646.300048828125,6.0,1.3059813976287842,36.247989654541016,34.448001861572266,6.400000095367432,23.299999237060547,26.100000381469727,0.04936511069536209,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3277031833,"Apr 9, 2020, 6:42:23 PM",Passeio da Nina 09/04/2020,Hike,,3723,2.90,,,false,,activities/3277031833.gpx,,,3723.0,2845.0,2904.60009765625,5.800000190734863,1.0209490060806274,23.88258934020996,23.582599639892578,7.300000190734863,20.200000762939453,25.0,0.01032844465225935,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3279559609,"Apr 10, 2020, 11:08:41 AM",Passeio da Nina 10/04/2020,Hike,,5091,3.59,,,false,,activities/3279559609.gpx,,,5091.0,3606.0,3591.10009765625,9.199999809265137,0.9958680272102356,8.800000190734863,8.199999809265137,5.099999904632568,12.899999618530273,9.5,0.016707971692085266,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3284204345,"Apr 11, 2020, 11:45:04 AM",Passeio do Ricky 11/04/2020,Hike,,5335,6.50,,,false,,activities/3284204345.gpx,,,5335.0,4699.0,6502.2998046875,3.200000047683716,1.3837624788284302,64.29130554199219,62.391300201416016,4.199999809265137,30.5,33.0,0.029220430180430412,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3293219357,"Apr 13, 2020, 11:10:13 AM",Passeio da Nina 13/04/2020,Walk,,4237,3.28,,,false,,activities/3293219357.gpx,,,4237.0,3329.0,3285.800048828125,3.200000047683716,0.987023115158081,20.394268035888672,18.59429931640625,4.400000095367432,23.100000381469727,15.300000190734863,0.05478117987513542,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3297275509,"Apr 14, 2020, 11:05:47 AM",Passeio da Nina 14/04/2020,Walk,,3618,2.71,,,false,,activities/3297275509.gpx,,,3618.0,2651.0,2716.0,4.599999904632568,1.0245190858840942,14.483881950378418,13.98390007019043,5.099999904632568,13.600000381469727,17.100000381469727,0.018409425392746925,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3297592729,"Apr 14, 2020, 1:06:38 PM",Passeio do Jack 14/04/2020,Walk,Passeio sensacional com meu amigão Jack!!! ,1983,2.32,,,false,,activities/3297592729.gpx,,,1983.0,1621.0,2323.89990234375,3.299999952316284,1.4336211681365967,18.020484924316406,18.520484924316406,4.300000190734863,13.5,22.600000381469727,-0.021515555679798126,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3301925796,"Apr 15, 2020, 11:14:21 AM",Passeio da Nina 15/04/2020,Walk,,4539,4.00,,,false,,activities/3301925796.gpx,,,4539.0,3808.0,4000.89990234375,7.900000095367432,1.0506565570831299,18.95969581604004,20.45969581604004,4.599999904632568,19.299999237060547,18.0,-0.0374915637075901,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306609649,"Apr 16, 2020, 11:04:26 AM",Passeio da Nina 16/04/2020,Walk,,3754,2.99,,,false,,activities/3306609649.gpx,,,3754.0,3135.0,2993.10009765625,4.800000190734863,0.9547368288040161,9.95714282989502,8.357142448425293,5.099999904632568,13.0,27.299999237060547,0.05345628410577774,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311350065,"Apr 17, 2020, 11:27:40 AM",Passeio da Nina 17/04/2020,Walk,,4180,2.85,,,false,,activities/3311350065.gpx,,,4180.0,3174.0,2858.60009765625,3.5,0.9006301164627075,7.696000099182129,8.996000289916992,5.099999904632568,13.0,5.199999809265137,-0.04547680541872978,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
