,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro,perc_fechamento,perc_max
3559,2022-07-08,W1IX34,WIX.COM LTD,12.36,12.36,12.36,12.36,250,309000,0.0,-0.0
3561,2022-07-08,W1MG34,WARNER MUSIC,33.27,33.27,33.27,33.27,10,63210,0.0,-0.0
3589,2022-07-01,P1GR34,THE PROGRESS,309.36,309.36,309.36,309.36,50,1732410,0.0,-0.0
3591,2022-07-01,P1IO34,PIONEER NATU,293.17,293.17,293.17,293.17,320,9645290,0.0,-0.0
3594,2022-07-01,P2AN34,PALOALTO NET,44.89,44.89,44.89,44.89,80,377070,0.0,-0.0
3595,2022-07-01,P2AT34,UIPATH INC,12.2,12.2,12.2,12.2,100,122000,0.0,-0.0
3624,2022-07-15,RAPT3,RANDON PART,8.43,8.6,8.3,8.43,16900,14279700,0.0,3.48837209302324
3640,2022-07-08,WLMM3,WLM IND COM,24.93,24.93,24.93,24.93,100,249300,0.0,-0.0
3659,2022-07-01,P2LN34,PLANETFITNES,45.49,45.49,45.49,45.49,40,186500,0.0,-0.0
3660,2022-07-01,P2LT34,PALANTIRTECH,16.07,16.07,16.07,16.07,70,112490,0.0,-0.0
3688,2022-07-01,PFRM3,PROFARMA,3.38,3.45,3.35,3.38,111800,37879800,0.0,2.898550724637683
3709,2022-07-15,RCSL3,RECRUSUL,3.08,3.11,2.93,3.08,829300,251437700,0.0,5.787781350482302
3737,2022-07-08,EQMA3B,EQTLMARANHAO,37.06,37.06,37.06,37.06,800,2964800,0.0,-0.0
3747,2022-07-11,A1BB34,ABB LTD,35.42,35.46,35.42,35.42,50,180780,0.0,0.11280315848843925
3761,2022-07-01,PLAS3,PLASCAR PART,7.5,7.5,7.5,7.5,2300,1725000,0.0,-0.0
3769,2022-07-01,PNCS34,PNCFNANCIAL,426.04,426.04,426.04,426.04,30,1320720,0.0,-0.0
3775,2022-07-01,POMO4,MARCOPOLO,2.45,2.49,2.43,2.45,3572700,876637200,0.0,2.409638554216864
3810,2022-07-15,ROST34,ROSS STORES,210.39,210.39,210.39,210.39,600,12623400,0.0,-0.0
3813,2022-07-11,A1EP34,AMERICAN ELE,254.45,254.45,254.45,254.45,80,2111930,0.0,-0.0
3814,2022-07-11,A1ES34,AES CORP,114.55,114.55,114.55,114.55,20,229100,0.0,-0.0
3818,2022-07-11,A1MP34,AMERIPRISE F,310.31,310.31,310.31,310.31,20,775770,0.0,-0.0
3828,2022-07-11,A1VY34,AVERY DENNIS,438.45,438.45,438.45,438.45,10,438450,0.0,-0.0
3832,2022-07-11,A2RE34,ARES MANAGEM,31.95,31.95,31.95,31.95,250,798750,0.0,-0.0
3834,2022-07-11,A2SO34,ACADEMY SPOR,51.31,51.31,51.31,51.31,310,1590610,0.0,-0.0
