,data_pregao,cod_acao,nome_emp,preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,vol_financeiro
11632,2022-07-12,CEBR6,CEB,13.05,13.18,12.9,12.95,12400,16092800
11635,2022-07-12,CEEB3,COELBA,36.63,36.63,36.63,36.63,100,366300
11639,2022-07-12,CGAS5,COMGAS,120.1,123.48,120.1,123.48,400,4855700
11641,2022-07-12,CGRA3,GRAZZIOTIN,28.5,28.7,28.5,28.7,2700,7725700
11643,2022-07-12,CGRA4,GRAZZIOTIN,28.59,28.8,28.44,28.46,2500,7129200
11645,2022-07-12,CHCM34,CHARTER COMM,41.58,43.0,41.58,42.39,21520,91455670
11646,2022-07-12,CHVX34,CHEVRON,74.95,75.74,74.38,75.41,15880,119400630
11647,2022-07-12,CIEL3,CIELO,3.95,4.03,3.91,3.98,21281700,-2147483648
11650,2022-07-12,CLSA3,CLEARSALE,3.9,3.9,3.66,3.84,1855700,703052900
11652,2022-07-12,CLSC3,CELESC,53.0,53.03,53.0,53.0,400,2120300
11654,2022-07-12,CLSC4,CELESC,53.71,54.89,53.36,53.36,5300,28570700
11658,2022-07-19,BOAC34,BANK AMERICA,43.9,45.5,43.89,45.19,9100,41031680
11659,2022-07-19,BOAS3,BOA VISTA,4.97,5.23,4.86,5.22,653200,336014800
11661,2022-07-19,BOBR4,BOMBRIL,1.22,1.24,1.2,1.23,18900,2320900
11664,2022-07-19,BOEI34,BOEING,830.55,842.73,828.06,842.73,220,18436940
11665,2022-07-19,BONY34,BNY MELLON,230.62,237.03,230.62,237.03,140,3469940
11666,2022-07-19,BOTZ39,GX ROBOTC AI,28.32,28.98,28.32,28.98,0,17160
11672,2022-07-19,BOXP34,BOSTON PROP,48.2,48.61,48.2,48.56,10,63120
11673,2022-07-19,BPAC3,BTGP BANCO,12.3,12.4,12.13,12.4,8900,10997700
11675,2022-07-19,BPAC5,BTGP BANCO,4.83,5.12,4.83,5.12,9400,4713100
11677,2022-07-19,BPAC11,BTGP BANCO,21.8,22.79,21.64,22.71,13473600,-2147483648
11679,2022-07-19,BPAN4,BANCO PAN,6.28,6.46,6.19,6.43,2555800,1614714200
11685,2022-07-19,BPVE39,GX INFRA DEV,41.84,43.28,41.84,43.28,0,16980
11686,2022-07-19,BQUA39,MSCIUSQUAL F,42.32,42.32,42.32,42.32,2950,12492860
11687,2022-07-22,UCAS3,UNICASA,2.47,2.52,2.41,2.47,79300,19362900
11689,2022-07-22,UGPA3,ULTRAPAR,12.61,12.69,12.37,12.46,3263700,-2147483648
11691,2022-07-22,ULEV34,UNILEVER,256.62,256.62,255.8,256.28,50,1460620
11692,2022-07-22,UNHH34,UNITEDHEALTH,81.75,82.03,81.04,82.03,10750,87891240
11693,2022-07-22,UNIP3,UNIPAR,84.97,84.97,82.11,82.65,18200,150630100
11695,2022-07-22,UNIP5,UNIPAR,89.99,90.0,89.99,90.0,300,2699900
11697,2022-07-22,UNIP6,UNIPAR,88.41,89.13,88.2,88.5,123600,1095745900
11699,2022-07-22,UPAC34,UNIONPACIFIC,290.87,294.06,288.55,292.77,100,3179480
11700,2022-07-22,UPSS34,UPS,64.06,64.48,63.44,63.58,1340,8532590
11704,2022-07-22,USBC34,US BANCORP,64.47,65.45,64.38,65.38,480,3150830
11706,2022-07-22,USIM3,USIMINAS,8.78,8.82,8.39,8.39,507300,436190800
11708,2022-07-22,USIM5,USIMINAS,9.14,9.3,8.89,8.91,16354300,-2147483648
11711,2022-07-22,USSX34,US STEEL,111.42,112.19,108.3,108.3,120,1357040
11714,2022-07-22,V2MW34,VMWARE INC,52.36,52.36,52.09,52.09,10,93780
11715,2022-07-22,VALE3,VALE,69.8,70.75,68.97,69.21,27884000,-2147483648
11717,2022-07-22,VAMO3,VAMOS,11.81,12.18,11.67,12.14,1943300,-2147483648
11719,2022-07-05,BRKM5,BRASKEM,36.03,36.15,34.63,35.32,2283400,-2147483648
11722,2022-07-05,BRML3,BR MALLS PAR,7.67,7.8,7.6,7.79,8422500,-2147483648
11724,2022-07-05,BRPR3,BR PROPERT,8.83,8.86,8.73,8.81,1626900,1430838800
11726,2022-07-05,BRSR3,BANRISUL,11.2,11.32,11.1,11.14,2100,2344700
11729,2022-07-05,BRSR6,BANRISUL,8.97,9.11,8.96,9.11,1865500,1682193400
11732,2022-07-05,BSHV39,BKR SHORT TR,59.0,59.0,58.53,58.53,710,4210570
11733,2022-07-05,BSHY39,BKR 1 3 YRTR,55.0,55.0,55.0,55.0,0,11000
11734,2022-07-05,BSIL39,GX SILVER MN,26.94,27.06,26.94,27.06,0,10800
11737,2022-07-05,BSLV39,SILVER TRUST,32.11,32.44,31.75,31.97,4590,14686370
11738,2022-07-05,BSOC39,GX SOCIAL MD,22.56,23.16,22.36,23.16,500,1127140
11739,2022-07-05,BSOX39,BKR SEMICOND,44.85,44.85,44.85,44.85,0,4480
11740,2022-07-05,BSUS39,ESGMSCIUSA L,45.09,45.09,45.09,45.09,1500,6763500
11747,2022-07-05,BTLT39,BKR 20YR TRS,41.76,42.48,41.76,42.01,510,2166600
11749,2022-07-19,BQYL39,GX NASDAQ100,32.25,32.64,32.25,32.64,14920,48701260
11750,2022-07-19,BRAP3,BRADESPAR,20.4,20.57,20.31,20.38,88800,181484800
11752,2022-07-19,BRAP4,BRADESPAR,22.54,22.72,22.42,22.6,2538500,-2147483648
11755,2022-07-19,BRBI11,BR PARTNERS,12.65,13.04,12.65,12.9,132600,170951900
11760,2022-07-19,BRFS3,BRF SA,14.84,15.32,14.68,14.96,7773200,-2147483648
11762,2022-07-19,BRGE3,ALFA CONSORC,6.22,6.22,6.22,6.22,500,311000
11765,2022-07-19,BRIT3,BRISANET,1.99,2.13,1.97,2.13,446200,90918400
11767,2022-07-19,BRIV3,ALFA INVEST,5.58,5.58,5.58,5.58,100,55800
11770,2022-07-19,BRKM3,BRASKEM,35.0,35.42,35.0,35.2,2100,7390300
11772,2022-07-19,BRKM5,BRASKEM,34.12,34.73,34.03,34.54,1033200,-2147483648
11776,2022-07-19,BRML3,BR MALLS PAR,7.57,7.64,7.5,7.55,3625600,-2147483648
11778,2022-07-19,BRPR3,BR PROPERT,8.41,8.47,8.3,8.31,1781800,1488579300
11780,2022-07-12,CMCS34,COMCAST,43.2,43.62,43.16,43.16,16400,71089380
11782,2022-07-12,CMIG3,CEMIG,15.31,15.45,15.03,15.4,352000,538197000
11784,2022-07-12,CMIG4,CEMIG,10.31,10.41,10.15,10.33,5971200,-2147483648
11786,2022-07-12,CMIN3,CSNMINERACAO,3.51,3.56,3.45,3.51,6257100,-2147483648
11789,2022-07-12,COCA34,COCA COLA,56.46,57.35,56.25,56.58,20600,117181860
11790,2022-07-12,COCE5,COELCE,48.09,48.43,47.75,48.06,2700,12960500
